"relative_path","full_path","Name","Extension","Length","size_mb","LastWriteTime"
".venv_fooocus\Lib\site-packages\torchmetrics\functional\image\lpips_models\vgg.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_fooocus\Lib\site-packages\torchmetrics\functional\image\lpips_models\vgg.pth","vgg.pth",".pth","7289","0.007","26/12/47 09:37:44 ص"
".venv_sdwebui\Lib\site-packages\distutils-precedence.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\distutils-precedence.pth","distutils-precedence.pth",".pth","151","0","26/12/47 01:06:36 م"
".venv_sdwebui\Lib\site-packages\protobuf-3.20.0-py3.10-nspkg.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\protobuf-3.20.0-py3.10-nspkg.pth","protobuf-3.20.0-py3.10-nspkg.pth",".pth","540","0.001","26/12/47 01:08:24 م"
".venv_sdwebui\Lib\site-packages\sentencepiece\package_data\nfkc_cf.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\sentencepiece\package_data\nfkc_cf.bin","nfkc_cf.bin",".bin","247028","0.236","26/12/47 01:08:04 م"
".venv_sdwebui\Lib\site-packages\sentencepiece\package_data\nfkc.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\sentencepiece\package_data\nfkc.bin","nfkc.bin",".bin","240008","0.229","26/12/47 01:08:04 م"
".venv_sdwebui\Lib\site-packages\sentencepiece\package_data\nmt_nfkc_cf.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\sentencepiece\package_data\nmt_nfkc_cf.bin","nmt_nfkc_cf.bin",".bin","247027","0.236","26/12/47 01:08:04 م"
".venv_sdwebui\Lib\site-packages\sentencepiece\package_data\nmt_nfkc.bin","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\sentencepiece\package_data\nmt_nfkc.bin","nmt_nfkc.bin",".bin","240007","0.229","26/12/47 01:08:04 م"
".venv_sdwebui\Lib\site-packages\torchmetrics\functional\image\dists_models\weights.pt","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torchmetrics\functional\image\dists_models\weights.pt","weights.pt",".pt","12288","0.012","26/12/47 02:11:46 م"
".venv_sdwebui\Lib\site-packages\torchmetrics\functional\image\lpips_models\alex.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torchmetrics\functional\image\lpips_models\alex.pth","alex.pth",".pth","6009","0.006","26/12/47 02:11:46 م"
".venv_sdwebui\Lib\site-packages\torchmetrics\functional\image\lpips_models\squeeze.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torchmetrics\functional\image\lpips_models\squeeze.pth","squeeze.pth",".pth","10811","0.01","26/12/47 02:11:46 م"
".venv_sdwebui\Lib\site-packages\torchmetrics\functional\image\lpips_models\vgg.pth","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\.venv_sdwebui\Lib\site-packages\torchmetrics\functional\image\lpips_models\vgg.pth","vgg.pth",".pth","7289","0.007","26/12/47 02:11:46 م"
"06_portable_tools\PortableGit-2.54.0-64-bit\usr\share\vim\vim92\tutor\tutor1.pt","D:\zzipp\جي بي\الكميرا\_organized_generation_workspace_20260612\06_portable_tools\PortableGit-2.54.0-64-bit\usr\share\vim\vim92\tutor\tutor1.pt","tutor1.pt",".pt","37094","0.035","03/11/47 08:50:06 م"
